"","gene_id","gene_biotype.x","gene_name"
"1","ENSG00000211592","IG_C_gene","IGKC"
"2","ENSG00000211675","IG_C_gene","IGLC1"
"3","ENSG00000211677","IG_C_gene","IGLC2"
"4","ENSG00000211679","IG_C_gene","IGLC3"
"5","ENSG00000211685","IG_C_gene","IGLC7"
"6","ENSG00000211890","IG_C_gene","IGHA2"
"7","ENSG00000211891","IG_C_gene","IGHE"
"8","ENSG00000211892","IG_C_gene","IGHG4"
"9","ENSG00000211893","IG_C_gene","IGHG2"
"10","ENSG00000211895","IG_C_gene","IGHA1"
"11","ENSG00000211896","IG_C_gene","IGHG1"
"12","ENSG00000211897","IG_C_gene","IGHG3"
"13","ENSG00000211898","IG_C_gene","IGHD"
"14","ENSG00000211899","IG_C_gene","IGHM"
"15","ENSG00000222037","IG_C_pseudogene","IGLC6"
"16","ENSG00000253692","IG_C_pseudogene","IGHEP1"
"17","ENSG00000253755","IG_C_pseudogene","IGHGP"
"18","ENSG00000254017","IG_C_pseudogene","IGHEP2"
"19","ENSG00000254029","IG_C_pseudogene","IGLC4"
"20","ENSG00000254030","IG_C_pseudogene","IGLC5"
"21","ENSG00000254127","IG_C_pseudogene","IGLCOR22-1"
"22","ENSG00000265243","IG_C_pseudogene","IGLJCOR18"
"23","ENSG00000271093","IG_C_pseudogene","IGLCOR22-2"
"24","ENSG00000211907","IG_D_gene","IGHD1-26"
"25","ENSG00000211909","IG_D_gene","IGHD5-24"
"26","ENSG00000211911","IG_D_gene","IGHD3-22"
"27","ENSG00000211912","IG_D_gene","IGHD2-21"
"28","ENSG00000211914","IG_D_gene","IGHD6-19"
"29","ENSG00000211915","IG_D_gene","IGHD5-18"
"30","ENSG00000211917","IG_D_gene","IGHD3-16"
"31","ENSG00000211918","IG_D_gene","IGHD2-15"
"32","ENSG00000211920","IG_D_gene","IGHD6-13"
"33","ENSG00000211921","IG_D_gene","IGHD5-12"
"34","ENSG00000211923","IG_D_gene","IGHD3-10"
"35","ENSG00000211924","IG_D_gene","IGHD3-9"
"36","ENSG00000211925","IG_D_gene","IGHD2-8"
"37","ENSG00000211928","IG_D_gene","IGHD5-5"
"38","ENSG00000211930","IG_D_gene","IGHD3-3"
"39","ENSG00000211931","IG_D_gene","IGHD2-2"
"40","ENSG00000225825","IG_D_gene","IGHD6-25"
"41","ENSG00000227108","IG_D_gene","IGHD1-14"
"42","ENSG00000227196","IG_D_gene","IGHD4-23"
"43","ENSG00000227800","IG_D_gene","IGHD4-17"
"44","ENSG00000228131","IG_D_gene","IGHD6-6"
"45","ENSG00000232543","IG_D_gene","IGHD4-11"
"46","ENSG00000233655","IG_D_gene","IGHD4-4"
"47","ENSG00000236170","IG_D_gene","IGHD1-1"
"48","ENSG00000236597","IG_D_gene","IGHD7-27"
"49","ENSG00000237020","IG_D_gene","IGHD1-20"
"50","ENSG00000237197","IG_D_gene","IGHD1-7"
"51","ENSG00000270185","IG_D_gene","IGHD1OR15-1B"
"52","ENSG00000270451","IG_D_gene","IGHD4OR15-4B"
"53","ENSG00000270824","IG_D_gene","IGHD5OR15-5B"
"54","ENSG00000270961","IG_D_gene","IGHD5OR15-5A"
"55","ENSG00000271317","IG_D_gene","IGHD4OR15-4A"
"56","ENSG00000271336","IG_D_gene","IGHD1OR15-1A"
"57","ENSG00000282089","IG_D_gene","IGHD3OR15-3B"
